te work giveme chests,Positive,0.5,0.6
Box,How remove 2 step verification number permanently closed,Negative,-0.1,0.1
Box,"Best cloud-based file storage, real-time backup collaboration solution money.",Positive,1.0,0.3
Box,Good file keep mobile,Positive,0.7,0.6000000000000001
Box,"Does well, though business casual user.",Negative,-0.5000000000000001,0.8666666666666667
Box,"I ""rocketbook""",Neutral,0.0,0.0
Box,Awesome Clouding.,Positive,1.0,1.0
Box,v4.20.1 - initial install,Neutral,0.0,0.0
Box,Work well transferring multiple photographs.,Neutral,0.0,0.0
Box,Works well,Neutral,0.0,0.0
Box,Very good,Positive,0.9099999999999999,0.7800000000000001
Box,So far good,Positive,0.39999999999999997,0.8
Box,Good place keep memories,Positive,0.7,0.6000000000000001
Box,It's best!,Positive,1.0,0.3
Box,Great product,Positive,0.8,0.75
Box,The best,Positive,1.0,0.3
Box,Great,Positive,0.8,0.75
Box,Goood,Neutral,0.0,0.0
Box,Great,Positive,0.8,0.75
Box,"Opening picture slow, actually painfully slow. Don't even bother trying open video file take half hour. I understand slow. The slowest I ever seen",Negative,-0.21333333333333337,0.3733333333333333
Box,"I gave five stars since last month I able upload file bigger 19mb, I withdrawing two stars. Please fix problem.",Positive,0.16666666666666666,0.3972222222222222
Box,The problem: I can't 2 accounts configured app. I always log log again.,Neutral,0.0,0.0
Box,Please allow choices either overwrite/replace rename names. This good managing lot need overwrite existing ones. Looking forward implemented.,Positive,0.7,0.6000000000000001
Box,"Thank Box keeping account wonderful pictures safe long. I loyal follower. Thank you, thank you. Btw, great app. Absolutely brilliant!",Positive,0.5972222222222222,0.7472222222222222
Box,This helps keep important documents single place access anytime. Really good interface helps keep documents organized.,Positive,0.3428571428571428,0.6047619047619047
Box,Apostrophes invalid characters filenames? Really? What year this?,Positive,0.2,0.2
Box,How log box. I love using 10yr.,Positive,0.5,0.6
Box,nan,nan,nan,nan
Box,best cloud storage PC,Positive,1.0,0.3
Box,Very help thxxxx,Positive,0.2,0.3
Box,I love Box. I've using 5 years.,Positive,0.5,0.6
Box,Please bring back properly labeled buttons music player. I box screen reader recent updates messed seekbar buttons.,Neutral,0.0,0.11666666666666665
Box,I absolutely love app! It provides fast access important documents wherever I go. It incredibly easy share collaborate still proving excellent access controls ensure data I want accessible I want I want. Fantastic!!!,Positive,0.5449404761904761,0.7583333333333334
Box,"Quite simply best does. It's bloat Ware, around longer ""the cloud "". Fast, great controls/intuitive, real ""learning curve"".",Positive,0.55,0.4875
Box,My organic chemistry course used class learn. I math physics courses collaborate students. It really helps research well.,Positive,0.2,0.2
Box,A impressive replacement Sharepoint useful people like every thing documented easily accessed edited anywhere organized fashion.,Positive,0.5777777777777778,0.6111111111111112
Box,I've using 5 years (I think) never let down!,Negative,-0.19444444444444448,0.2888888888888889
Box,"With Box, I access documents devices.",Neutral,0.0,0.0
Box,Very useful storage. Highly stable.,Positive,0.275,0.26999999999999996
Box,This incredibly helpful communicating tasks need done particular project.,Positive,0.5333333333333333,0.6166666666666667
Box,"Perfect cloud storage go, collaboration",Positive,1.0,1.0
Box,How remove 2 step verification number permanently closed,Negative,-0.1,0.1
Box,"Best cloud-based file storage, real-time backup collaboration solution money.",Positive,1.0,0.3
Box,Good file keep mobile,Positive,0.7,0.6000000000000001
Box,"Does well, though business casual user.",Negative,-0.5000000000000001,0.8666666666666667
Box,"I ""rocketbook""",Neutral,0.0,0.0
Box,Awesome Clouding.,Positive,1.0,1.0
Box,v4.20.1 - initial install,Neutral,0.0,0.0
Box,Work well transferring multiple photographs.,Neutral,0.0,0.0
Box,Works well,Neutral,0.0,0.0
Box,Very good,Positive,0.9099999999999999,0.7800000000000001
Box,So far good,Positive,0.39999999999999997,0.8
Box,Good place keep memories,Positive,0.7,0.6000000000000001
Box,It's best!,Positive,1.0,0.3
Box,Great product,Positive,0.8,0.75
Box,The best,Positive,1.0,0.3
Box,Great,Positive,0.8,0.75
Box,Goood,Neutral,0.0,0.0
Box,Great,Positive,0.8,0.75
Box,"Opening picture slow, actually painfully slow. Don't even bother trying open video file take half hour. I understand slow. The slowest I ever seen",Negative,-0.21333333333333337,0.3733333333333333
Box,"I gave five stars since last month I able upload file bigger 19mb, I withdrawing two stars. Please fix problem.",Positive,0.16666666666666666,0.3972222222222222
Box,The problem: I can't 2 accounts configured app. I always log log again.,Neutral,0.0,0.0
Box,Please allow choices either overwrite/replace rename names. This good managing lot need overwrite existing ones. Looking forward implemented.,Positive,0.7,0.6000000000000001
Box,"Thank Box keeping account wonderful pictures safe long. I loyal follower. Thank you, thank you. Btw, great app. Absolutely brilliant!",Positive,0.5972222222222222,0.7472222222222222
Box,This helps keep important documents single place access anytime. Really good interface helps keep documents organized.,Positive,0.3428571428571428,0.6047619047619047
Box,Apostrophes invalid characters filenames? Really? What year this?,Positive,0.2,0.2
Box,How log box. I love using 10yr.,Positive,0.5,0.6
Box,nan,nan,nan,nan
Box,best cloud storage PC,Positive,1.0,0.3
Box,Very help thxxxx,Positive,0.2,0.3
Box,I love Box. I've using 5 years.,Positive,0.5,0.6
Box,Please bring back properly labeled buttons music player. I box screen reader recent updates messed seekbar buttons.,Neutral,0.0,0.11666666666666665
Box,I absolutely love app! It provides fast access important documents wherever I go. It incredibly easy share collaborate still proving excellent access controls ensure data I want accessible I want I want. Fantastic!!!,Positive,0.5449404761904761,0.7583333333333334
Box,"Quite simply best does. It's bloat Ware, around longer ""the cloud "". Fast, great controls/intuitive, real ""learning curve"".",Positive,0.55,0.4875
Box,My organic chemistry course used class learn. I math physics courses collaborate students. It really helps research well.,Positive,0.2,0.2
Box,A impressive replacement Sharepoint useful people like every thing documented easily accessed edited anywhere organized fashion.,Positive,0.5777777777777778,0.6111111111111112
Box,I've using 5 years (I think) never let down!,Negative,-0.19444444444444448,0.2888888888888889
Box,"With Box, I access documents devices.",Neutral,0.0,0.0
Box,Very useful storage. Highly stable.,Positive,0.275,0.26999999999999996
Box,This incredibly helpful communicating tasks need done particular project.,Positive,0.5333333333333333,0.6166666666666667
Box,"Perfect cloud storage go, collaboration",Positive,1.0,1.0
Box,How remove 2 step verification number permanently closed,Negative,-0.1,0.1
Box,"Best cloud-based file storage, real-time backup collaboration solution money.",Positive,1.0,0.3
Box,Good file keep mobile,Positive,0.7,0.6000000000000001
Box,"Does well, though business casual user.",Negative,-0.5000000000000001,0.8666666666666667
Box,"I ""rocketbook""",Neutral,0.0,0.0
Box,Awesome Clouding.,Positive,1.0,1.0
Box,v4.20.1 - initial install,Neutral,0.0,0.0
Box,Work well transferring multiple photographs.,Neutral,0.0,0.0
Box,Works well,Neutral,0.0,0.0
Box,Very good,Positive,0.9099999999999999,0.7800000000000001
Box,So far good,Positive,0.39999999999999997,0.8
Box,Good place keep memories,Positive,0.7,0.6000000000000001
Box,It's best!,Positive,1.0,0.3
Box,Great product,Positive,0.8,0.75
Box,The best,Positive,1.0,0.3
Box,Great,Positive,0.8,0.75
Box,Goood,Neutral,0.0,0.0
Box,Great,Positive,0.8,0.75
Box,"Opening picture slow, actually painfully slow. Don't even bother trying open video file take half hour. I understand slow. The slowest I ever seen",Negative,-0.21333333333333337,0.3733333333333333
Box,"I gave five stars since last month I able upload file bigger 19mb, I withdrawing two stars. Please fix problem.",Positive,0.16666666666666666,0.3972222222222222
Box,The problem: I can't 2 accounts configured app. I always log log again.,Neutral,0.0,0.0
Box,Please allow choices either overwrite/replace rename names. This good managing lot need overwrite existing ones. Looking forward implemented.,Positive,0.7,0.6000000000000001
Box,"Thank Box keeping account wonderful pictures safe long. I loyal follower. Thank you, thank you. Btw, great app. Absolutely brilliant!",Positive,0.5972222222222222,0.7472222222222222
Box,This helps keep important documents single place access anytime. Really good interface helps keep documents organized.,Positive,0.3428571428571428,0.6047619047619047
Box,Apostrophes invalid characters filenames? Really? What year this?,Positive,0.2,0.2
Box,How log box. I love using 10yr.,Positive,0.5,0.6
Box,nan,nan,nan,nan
Box,best cloud storage PC,Positive,1.0,0.3
Box,Very help thxxxx,Positive,0.2,0.3
Box,I love Box. I've using 5 years.,Positive,0.5,0.6
Boxed Wholesale,Its easy,Positive,0.43333333333333335,0.8333333333333334
Boxed Wholesale,"My benefit ordering three boxes, fact delivers directly door...Well used to. I ordered 2 big boxes heavy I live 5th floor boxes brought FedEx office. My advice company change delivery company. I ordering Amazon I know guarantee front door delivery.",Positive,0.009090909090909087,0.375
Boxed Wholesale,"This wins Jet owned Wal-Mart I'm pretty sure majority bad reviews page site actually Wal-Mart reps submitting negative posts rapidly, I've worked companies time. No thanks, Waltons. Boxed better people people general main competitors blood sucking Waltons Bezos, really choice? No. I'm bot paid representative (though I'd gladly consider review purposes) I'm another disenfranchised American consumer tired God sized companies ruling world. Thanks good day.",Positive,0.11666666666666668,0.46805555555555556
Boxed Wholesale,I ORDERED POTATO CHIPS AND THE BOX LOOKS LIKE IT CAME OUT OF THE DUMP TRUCK AND WAS NOT SEAL AND GREASE ALL OVER THE BOX THEY KEEP GIVING ME THE RUN AROUND,Neutral,0.0,0.0
Boxed Wholesale,Never life I received better customer Boxed. For reason I continue faithful client GOD Almighty allows it.,Positive,0.5,0.5
Boxed Wholesale,At At prices job end year!,Neutral,0.0,0.0
Boxed Wholesale,"Great prices, speedy delivery",Positive,0.8,0.75
Boxed Wholesale,"Used times, I'm referring family friends. It's good!",Positive,0.875,0.6000000000000001
Boxed Wholesale,"I've used boxed couple times products good prices shipping fast. My recent order, product showed damaged, I contacted customer took care issue quickly.",Positive,0.3083333333333333,0.48750000000000004
Boxed Wholesale,I love app! I get pretty much everything I get Sam's club that's refrigerated membership fee house! I super surprised today I got order kit Kats wrapped cooler bag ice pack them. I loved didnt want melt. All random freebies pretty awesome too!,Positive,0.33425925925925926,0.7407407407407408
Boxed Wholesale,It sounds looks like good cant find form week refund got proof product u leave hwy 90 dont business,Positive,0.7,0.6000000000000001
Boxed Wholesale,I 5 kids I love boxed buying bulk great ways stock family items love I even got sister order likes company well I continue order I continue let people know company!,Positive,0.6416666666666667,0.65
Boxed Wholesale,"I love ordering boxed. Items ship quick, great prices items I need & need customer amazing.",Positive,0.5583333333333333,0.6875
Boxed Wholesale,I love box shopping great prices I love give,Positive,0.6,0.65
Boxed Wholesale,Great Thanks,Positive,0.5,0.475
Boxed Wholesale,I'm saving prime...ative fees year sticking boxed. Better prices way better customer service.,Positive,0.5,0.5
Boxed Wholesale,crashes constantly. If delete something cart added back seconds later. Double check items checking out.,Neutral,0.0,0.08333333333333333
Boxed Wholesale,"With Apps like this, customer key element. Box great responsive customer need interact them. The products arrive fast good quality. I tag cellphone calendar set timer I never run essentials toilet paper. The free shipping option affordable great choice.",Positive,0.40952380952380946,0.6428571428571429
Boxed Wholesale,"I mean, honestly, clear developers know installed occasional tablet, yet forces portrait mode. __THAT IS NOT COOL__",Negative,-0.09687499999999999,0.4614583333333333
Boxed Wholesale,Love,Positive,0.5,0.6
Boxed Wholesale,Don't give free shipping first order going cancel order using free shipping. I first time user I coupon codes order large items. I got vague email says I violated terms service. What? I ordered groceries.,Positive,0.16904761904761903,0.5325396825396825
Boxed Wholesale,"You lose order I never signed blame UPS! I WANT A REFUND, YOU ROBBED ME FOR OVER 100$",Neutral,0.0,0.0
Boxed Wholesale,"Products amazing. My order came specified due date, love convenience delivery door. Totally recommend anyone!",Positive,0.24375000000000002,0.65625
Boxed Wholesale,I love shopping here! So much better competitors prices great! I really would love Boxed start price matching.,Positive,0.5650000000000001,0.53
Boxed Wholesale,"Awesome, Easy, Affordable Fast Shipping!!!",Positive,0.6079861111111111,0.8111111111111112
Boxed Wholesale,I love,Positive,0.5,0.6
Boxed Wholesale,Very affordable,Positive,0.2,0.3
Boxed Wholesale,Pretty cool,Positive,0.3,0.825
Boxed Wholesale,Items change regularly provide variety items food. They say 3 day delivery always get orders 2! Very fast fun freebies site app. Highly recommend big discounts.,Positive,0.14400000000000002,0.33938461538461534
Boxed Wholesale,Didn't see anything I interested buying. Prices higher Costco's,Positive,0.25,0.5
Boxed Wholesale,"The prices still higher compared WM, Cost/of product choices limited. Waste time memory space phone. Removing app.",Negative,-0.007142857142857145,0.21428571428571427
Boxed Wholesale,"Ordered twice 1 month orders shipped wrong address. When I informed told make sure right UPS said boxed printed wrong. To ""fix"" lost order sent old apartment actually gave credit money back plus 40 cents. Gee thanks. When I complained 8th email gave whopping 10% mistakes. It's best mistakes first time keep frequent customer.",Positive,0.09464285714285714,0.4048280423280423
Boxed Wholesale,"Wonderfully designed! Intuitive, smooth, fast. All features work well easily. Haven't finished ordering yet prices acceptable breeze checkout. Keeps cart items. GREAT app!",Positive,0.6066666666666667,0.7366666666666667
Boxed Wholesale,"These prices expensive I went bought stuff. No deals, here.",Negative,-0.5,0.7
Boxed Wholesale,"I could have stars except I added stuff cart I go cart try pay let "" check out"" ... I unable place order",Negative,-0.5,0.5
Boxed Wholesale,LOVE BOXED! So quick easy Prince & Spring line BETTER name brand!! I order everything coffee home goods!,Positive,0.5920572916666667,0.6083333333333334
Boxed Wholesale,"The prices vary. Some things cheaper big box stores, thats code HNG3P TO GET 15$ OFF YOUR FIRST ORDER OF 60$",Positive,0.125,0.21666666666666667
Boxed Wholesale,Fix app!!!! I guess I wont using since wont accept zip code even though I already purchased it!,Neutral,0.0,0.0
Boxed Wholesale,Amazing fast shipping saves gas. beats costco,Positive,0.4,0.75
Boxed Wholesale,A lot items listed actually cheaper Walmart.,Neutral,0.0,0.1
Boys Photo Editor - Six Pack & Men's Suit,After Vi Vi,Neutral,0.0,0.0
Boys Photo Editor - Six Pack & Men's Suit,Worst noting working proper,Negative,-0.5,0.55
Boys Photo Editor - Six Pack & Men's Suit,The photo editor big good I shot install delete,Positive,0.35,0.35000000000000003
Boys Photo Editor - Six Pack & Men's Suit,I want,Neutral,0.0,0.0
Boys Photo Editor - Six Pack & Men's Suit,Nonsense,Neutral,0.0,0.0
Boys Photo Editor - Six Pack & Men's Suit,Shohibk966,Neutral,0.0,0.0
Boys Photo Editor - Six Pack & Men's Suit,Nice plz members,Positive,0.6,1.0
Boys Photo Editor - Six Pack & Men's Suit,So cool,Positive,0.35,0.65
Boys Photo Editor - Six Pack & Men's Suit,Your photo editor good,Positive,0.7,0.6000000000000001
Boys Photo Editor - Six Pack & Men's Suit,Chatter,Neutral,0.0,0.0
Boys Photo Editor - Six Pack & Men's Suit,It good,Positive,0.7,0.6000000000000001
Boys Photo Editor - Six Pack & Men's Suit,Its good,Positive,0.7,0.6000000000000001
Boys Photo Editor - Six Pack & Men's Suit,Rubbish,Neutral,0.0,0.0
Boys Photo Editor - Six Pack & Men's Suit,#Garbage,Neutral,0.0,0.0
Boys Photo Editor - Six Pack & Men's Suit,It's good working,Positive,0.7,0.6000000000000001
Boys Photo Editor - Six Pack & Men's Suit,nan,nan,nan,nan
Boys Photo Editor - Six Pack & Men's Suit,Very nice,Positive,0.78,1.0
Boys Photo Editor - Six Pack & Men's Suit,Good,Positive,0.7,0.6000000000000001
Boys Photo Editor - Six Pack & Men's Suit,Super,Positive,0.3333333333333333,0.6666666666666666
Boys Photo Editor - Six Pack & Men's Suit,Normal,Positive,0.15,0.6499999999999999
Boys Photo Editor - Six Pack & Men's Suit,Bkwass,Neutral,0.0,0.0
Boys Photo Editor - Six Pack & Men's Suit,Nice,Positive,0.6,1.0
Boys Photo Editor - Six Pack & Men's Suit,That's amazing,Positive,0.6000000000000001,0.9
Boys Photo Editor - Six Pack & Men's Suit,Waste,Negative,-0.2,0.0
Boys Photo Editor - Six Pack & Men's Suit,Good,Positive,0.7,0.6000000000000001
Boys Photo Editor - Six Pack & Men's Suit,Best,Positive,1.0,0.3
Boys Photo Editor - Six Pack & Men's Suit,Better,Positive,0.5,0.5
Boys Photo Editor - Six Pack & Men's Suit,Good,Positive,0.7,0.6000000000000001
Boys Photo Editor - Six Pack & Men's Suit,Love,Positive,0.5,0.6
Boys Photo Editor - Six Pack & Men's Suit,GOOD,Positive,0.7,0.6000000000000001
Boys Photo Editor - Six Pack & Men's Suit,nan,nan,nan,nan
Boys Photo Editor - Six Pack & Men's Suit,It really boring app......isko na kare,Negative,-1.0,1.0
Boys Photo Editor - Six Pack & Men's Suit,It's a bit of a bad thing.,Negative,-0.6999999999999998,0.6666666666666666
Boys Photo Editor - Six Pack & Men's Suit,I can't say much I know fabulous,Positive,0.30000000000000004,0.6
Boys Photo Editor - Six Pack & Men's Suit,Not good,Negative,-0.35,0.6000000000000001
Boys Photo Editor - Six Pack & Men's Suit,Hiiiiiiiii Hello My Good morning Good Friday Good morning America joined channel,Positive,0.6999999999999998,0.6000000000000001
Boys Photo Editor - Six Pack & Men's Suit,Plz add rotate edit,Neutral,0.0,0.0
Boys Photo Editor - Six Pack & Men's Suit,Very good,Positive,0.9099999999999999,0.7800000000000001
Boys Photo Editor - Six Pack & Men's Suit,This funny,Positive,0.25,1.0
Boys Photo Editor - Six Pack & Men's Suit,I like app.,Neutral,0.0,0.0
Brain Waves - Binaural Beats,"A godsend. Thank much app. I severe anxiety analytical mind, I struggle everyday disecting mental health trying rationalise nonsensical thoughts. I've discovered binaural beats past months first time life I escape able completely relax. This best brain wave I ever tried. I can't ever fully express words difference made life.",Positive,0.1875,0.3635416666666666
Brain Waves - Binaural Beats,Good beats whatnot little frequent skips beats trying listen focus intolerable. If fixed give 5 stars. Humorously meditation preset worst,Positive,0.03541666666666665,0.6
Brain Waves - Binaural Beats,"Really like app, especially select left right frequency, clicking sound maddening. Unfortunately makes unusable.",Positive,0.06428571428571428,0.5226190476190476
Brain Waves - Binaural Beats,"This works Far better 7 binaural I've tried...and truly effective placing brain frequency desired state. Plus, gives smart choices customize benefits w/ 6 brainwave states (Theta, Delta, Beta, etc.). It's hands winner.",Positive,0.35357142857142854,0.7357142857142857
Brain Waves - Binaural Beats,I love currently making disturbing static sound. Please fix this!?,Positive,0.2,0.62
Brain Waves - Binaural Beats,Love however issues today shutting opening up.,Positive,0.5,0.6
Brain Waves - Binaural Beats,If getting static clicks uninstall reinstall.,Positive,0.5,0.9
Brain Waves - Binaural Beats,"Managed get beta gamma state, Theta coordinate now.",Neutral,0.0,0.0
Brain Waves - Binaural Beats,Worked great last update. Now force closes soon runs.,Positive,0.4,0.4083333333333333
Brain Waves - Binaural Beats,"Was able save SD update, I can't!",Positive,0.625,0.625
Brain Waves - Binaural Beats,It static,Positive,0.5,0.9
Brain Waves - Binaural Beats,It great mind focus !,Positive,1.0,0.75
Brain Waves - Binaural Beats,"Keep mind I never make reviews due go way them. I using long, I going way. I really like snappy, useful, powerful is. I've tried multiple different phone platforms even, multiple reasons. Whether meditation, focus work, relax, energy, beats seem trick!! No placebo effect either, true effects.",Positive,0.10833333333333334,0.35833333333333334
Brain Waves - Binaural Beats,"It helpful studies. I'm happy set time adjust beats also sessions saved already focus, sleep, etc. You also make beats save sessions. The problem I I can't set timer right like before. When I set 60 minutes, beats stop within 5. Hope fixed.",Positive,0.39523809523809533,0.5785714285714285
Brain Waves - Binaural Beats,"Not usually leave negative review latest update ruined me. It used run background issues, I get sleep, focus work, meditate... Now I can't makes horrible clicking interference noises soon I minimise turn phone off. You need fix asap.",Negative,-0.16875,0.6375
